Id,en,es,fr,de,pt,it,nl,ru,ja,ko,zh,zh_TW,ar,hi,tr,pl,th,id
checked_in,Checked In,Registrado,Enregistré,Eingecheckt,Check-in feito,Check-in effettuato,Ingecheckt,Зарегистрирован,チェックイン済み,체크인됨,已签到,已簽到,تم التسجيل,चेक इन किया,Giriş yapıldı,Zameldowano,เช็คอินแล้ว,Sudah check-in
checkin_progress,Check-in Progress,Progreso de check-in,Progression des entrées,Check-in-Fortschritt,Progresso do check-in,Progresso check-in,Check-in voortgang,Прогресс регистрации,チェックイン進捗,체크인 진행률,签到进度,簽到進度,تقدم تسجيل الدخول,चेक-इन प्रगति,Giriş ilerlemesi,Postęp odpraw,ความคืบหน้าเช็คอิน,Progres Check-in
checkin_rate,Check-in Rate,,,,,,,,,,,,,,,,,
checkins_by_hour,Check-ins by Hour,Check-ins por hora,Entrées par heure,Check-ins pro Stunde,Check-ins por hora,Check-in per ora,Check-ins per uur,Регистрации по часам,時間別チェックイン,시간별 체크인,按小时签到,按小時簽到,تسجيل الدخول حسب الساعة,घंटे के अनुसार चेक-इन,Saatlik giriş sayısı,Odprawy wg godzin,เช็คอินตามชั่วโมง,Check-in per Jam
clear,clear,,,,,,,,,,,,,,,,,
clear_filters,Clear Filters,Limpiar Filtros,Effacer les Filtres,Filter Löschen,Limpar Filtros,Cancella Filtri,Filters Wissen,Сбросить фильтры,フィルターをクリア,필터 지우기,清除筛选,清除篩選,مسح المرشحات,फ़िल्टर साफ़ करें,Filtreleri Temizle,Wyczyść Filtry,ล้างตัวกรอง,Hapus Filter
collect_manually,Collect Manually,,,,,,,,,,,,,,,,,
colors,colors,,,,,,,,,,,,,,,,,
common_accept,Accept,Aceptar,Accepter,Akzeptieren,Aceitar,Accetta,Accepteren,Принять,承認,수락,接受,接受,قبول,स्वीकार,Kabul et,Akceptuj,ยอมรับ,Terima
common_accepted,Accepted,Aceptado,Accepté,Akzeptiert,Aceito,Accettato,Geaccepteerd,Принято,承認済み,수락됨,已接受,已接受,مقبول,स्वीकृत,Kabul edildi,Zaakceptowano,ยอมรับแล้ว,Diterima
common_activate,Activate,Activar,Activer,Aktivieren,Ativar,Attiva,Activeren,Активировать,有効化,활성화,激活,啟用,تفعيل,सक्रिय करें,Etkinleştir,Aktywuj,เปิดใช้งาน,Aktifkan
common_active,Active,Activo,Actif,Aktiv,Ativo,Attivo,Actief,Активный,アクティブ,활성,活跃,活躍,نشط,सक्रिय,Aktif,Aktywny,ใช้งาน,Aktif
common_apply,Apply,Aplicar,Appliquer,Anwenden,Aplicar,Applica,Toepassen,Применить,適用,적용,应用,套用,تطبيق,लागू करें,Uygula,Zastosuj,ใช้งาน,Terapkan
common_cancel,Cancel,Cancelar,Annuler,Abbrechen,Cancelar,Annulla,Annuleren,Отмена,キャンセル,취소,取消,取消,إلغاء,रद्द,İptal,Anuluj,ยกเลิก,Batal
common_deactivate,Deactivate,Desactivar,Désactiver,Deaktivieren,Desativar,Disattiva,Deactiveren,Деактивировать,無効化,비활성화,停用,停用,إلغاء التفعيل,निष्क्रिय करें,Devre dışı bırak,Dezaktywuj,ปิดใช้งาน,Nonaktifkan
common_declined,Declined,Rechazado,Refusé,Abgelehnt,Recusado,Rifiutato,Afgewezen,Отклонено,拒否済み,거절됨,已拒绝,已拒絕,مرفوض,अस्वीकृत,Reddedildi,Odrzucono,ถูกปฏิเสธ,Ditolak
common_default,Default,Predeterminado,Par défaut,Standard,Padrão,Predefinito,Standaard,По умолчанию,デフォルト,기본값,默认,預設,افتراضي,डिफ़ॉल्ट,Varsayılan,Domyślny,ค่าเริ่มต้น,Bawaan
common_done,Done,Listo,Terminé,Fertig,Concluído,Fatto,Klaar,Готово,完了,완료,完成,完成,تم,पूर्ण,Bitti,Gotowe,เสร็จสิ้น,Selesai
common_event,Event,Evento,Événement,Event,Evento,Evento,Evenement,Мероприятие,イベント,이벤트,活动,活動,حدث,इवेंट,Etkinlik,Wydarzenie,กิจกรรม,Acara
common_expired,Expired,Expirado,Expiré,Abgelaufen,Expirado,Scaduto,Verlopen,Истёк,期限切れ,만료됨,已过期,已過期,منتهي الصلاحية,समाप्त,Süresi doldu,Wygasło,หมดอายุ,Kedaluwarsa
common_go_back,Go Back,Volver,Retour,Zurück,Voltar,Torna indietro,Ga terug,Назад,戻る,뒤로,返回,返回,رجوع,वापस जाएं,Geri dön,Cofnij,กลับ,Kembali
common_inactive,Inactive,Inactivo,Inactif,Inaktiv,Inativo,Inattivo,Inactief,Неактивный,非アクティブ,비활성,非活跃,非活躍,غير نشط,निष्क्रिय,Pasif,Nieaktywny,ไม่ใช้งาน,Tidak aktif
common_location,Location,Ubicación,Localisation,Standort,Localização,Posizione,Locatie,Местоположение,場所,위치,位置,位置,الموقع,स्थान,Konum,Lokalizacja,ตำแหน่ง,Lokasi
common_message,Message,Mensaje,Message,Nachricht,Mensagem,Messaggio,Bericht,Сообщение,メッセージ,메시지,消息,訊息,رسالة,संदेश,Mesaj,Wiadomość,ข้อความ,Pesan
common_payments,Payments,Pagos,Paiements,Zahlungen,Pagamentos,Pagamenti,Betalingen,Платежи,支払い,결제,支付,付款,المدفوعات,भुगतान,Ödemeler,Płatności,การชำระเงิน,Pembayaran
common_pending,Pending,Pendiente,En attente,Ausstehend,Pendente,In attesa,In afwachting,В ожидании,保留中,대기 중,待处理,待處理,قيد الانتظار,लंबित,Beklemede,Oczekujące,รอดำเนินการ,Tertunda
common_price,Price,Precio,Prix,Preis,Preço,Prezzo,Prijs,Цена,価格,가격,价格,價格,السعر,कीमत,Fiyat,Cena,ราคา,Harga
common_private,Private,Privado,Privé,Privat,Privado,Privato,Privé,Приватный,プライベート,비공개,私密,私密,خاص,निजी,Özel,Prywatny,ส่วนตัว,Pribadi
common_profile,Profile,Perfil,Profil,Profil,Perfil,Profilo,Profiel,Профиль,プロフィール,프로필,个人资料,個人資料,الملف الشخصي,प्रोफ़ाइल,Profil,Profil,โปรไฟล์,Profil
common_public,Public,Público,Public,Öffentlich,Público,Pubblico,Openbaar,Публичный,パブリック,공개,公开,公開,عام,सार्वजनिक,Herkese açık,Publiczny,สาธารณะ,Publik
common_remove,Remove,Quitar,Retirer,Entfernen,Remover,Rimuovi,Verwijderen,Удалить,削除,제거,移除,移除,إزالة,हटाएं,Kaldır,Usuń,ลบออก,Hapus
common_retry,Retry,Reintentar,Réessayer,Wiederholen,Tentar novamente,Riprova,Opnieuw,Повторить,再試行,다시 시도,重试,重試,إعادة المحاولة,पुनः प्रयास,Tekrar dene,Ponów,ลองอีกครั้ง,Coba lagi
common_search,Search,Buscar,Rechercher,Suchen,Pesquisar,Cerca,Zoeken,Поиск,検索,검색,搜索,搜尋,بحث,खोजें,Ara,Szukaj,ค้นหา,Cari
common_settings,Settings,Configuración,Paramètres,Einstellungen,Configurações,Impostazioni,Instellingen,Настройки,設定,설정,设置,設定,الإعدادات,सेटिंग्स,Ayarlar,Ustawienia,การตั้งค่า,Pengaturan
common_sign_in,Sign In,Iniciar sesión,Se connecter,Anmelden,Entrar,Accedi,Inloggen,Войти,サインイン,로그인,登录,登入,تسجيل الدخول,साइन इन,Giriş yap,Zaloguj się,เข้าสู่ระบบ,Masuk
common_sign_out,Log Out,Cerrar sesión,Se déconnecter,Abmelden,Sair,Esci,Uitloggen,Выйти,ログアウト,로그아웃,退出,登出,تسجيل الخروج,लॉग आउट,Çıkış yap,Wyloguj się,ออกจากระบบ,Keluar
common_something_went_wrong,Something went wrong,Algo salió mal,Une erreur est survenue,Etwas ist schiefgelaufen,Algo deu errado,Qualcosa è andato storto,Er is iets misgegaan,Что-то пошло не так,問題が発生しました,문제가 발생했습니다,出错了,出錯了,حدث خطأ ما,कुछ गलत हो गया,Bir şeyler ters gitti,Coś poszło nie tak,เกิดข้อผิดพลาด,Terjadi kesalahan
common_try_again,Try Again,Reintentar,Réessayer,Erneut versuchen,Tentar novamente,Riprova,Probeer opnieuw,Попробуйте снова,再試行,다시 시도,重试,重試,حاول مجددًا,पुनः प्रयास करें,Tekrar dene,Spróbuj ponownie,ลองอีกครั้ง,Coba lagi
configure,configure,,,,,,,,,,,,,,,,,
confirm,confirm,,,,,,,,,,,,,,,,,
continue,Continue,Continuar,Continuer,Weiter,Continuar,Continua,Doorgaan,Продолжить,続行,계속,继续,繼續,متابعة,जारी रखें,Devam,Kontynuuj,ดำเนินการต่อ,Lanjutkan
continue_verification,Continue Verification,Continuar verificación,Continuer la vérification,Verifizierung fortsetzen,Continuar verificação,Continua verifica,Verificatie voortzetten,Продолжить верификацию,確認を続ける,인증 계속,继续验证,繼續驗證,متابعة التحقق,सत्यापन जारी रखें,Doğrulamaya Devam Et,Kontynuuj weryfikację,ดำเนินการยืนยันต่อ,Lanjutkan Verifikasi
continuous_scanning,Continuous Scanning,,,,,,,,,,,,,,,,,
controls_event_ranking,Controls how events are ranked in the discovery feed.,,,,,,,,,,,,,,,,,
conversion,conversion,,,,,,,,,,,,,,,,,
copy,copy,,,,,,,,,,,,,,,,,
copy_key_warning,Copy this key now. You will not be able to see it again.,,,,,,,,,,,,,,,,,
copy_snippet_instruction,Copy the snippet below and paste it into your website.,,,,,,,,,,,,,,,,,
could_not_generate_pass,Could not generate pass,,,,,,,,,,,,,,,,,
could_not_open_maps,Could not open maps,,,,,,,,,,,,,,,,,
create,create,,,,,,,,,,,,,,,,,
create_add_redeemable_item,Add Redeemable Item,,,,,,,,,,,,,,,,,
create_api_key,Create API Key,,,,,,,,,,,,,,,,,
create_api_key_first,Create an API key first,,,,,,,,,,,,,,,,,
create_biweekly,Biweekly,Quincenal,Bimensuel,Zweiwöchentlich,Quinzenal,Bisettimanale,Tweewekelijks,Раз в две недели,隔週,격주,每两周,每兩週,كل أسبوعين,पाक्षिक,İki haftada bir,Co dwa tygodnie,ทุกสองสัปดาห์,Dua mingguan
create_branding_accent,Accent Color,Color de acento,Couleur d'accent,Akzentfarbe,Cor de destaque,Colore accento,Accentkleur,Цвет акцента,アクセントカラー,강조 색상,强调色,強調色,لون مميز,एक्सेंट रंग,Vurgu rengi,Kolor akcentu,สีเน้น,Warna aksen
create_branding_preview,Branding Preview,Vista previa,Aperçu du branding,Branding-Vorschau,Prévia da marca,Anteprima branding,Branding voorbeeld,Предпросмотр,ブランディングプレビュー,브랜딩 미리보기,品牌预览,品牌預覽,معاينة العلامة,ब्रांडिंग पूर्वावलोकन,Marka önizleme,Podgląd brandingu,ตัวอย่างแบรนด์,Pratinjau branding
create_branding_primary,Primary Color,Color primario,Couleur principale,Primärfarbe,Cor primária,Colore primario,Primaire kleur,Основной цвет,プライマリカラー,기본 색상,主色,主色,اللون الأساسي,प्राथमिक रंग,Ana renk,Kolor główny,สีหลัก,Warna Utama
create_change_logo,Change Logo,,,,,,,,,,,,,,,,,
create_create_event,Create Event,Crear evento,Créer un événement,Event erstellen,Criar evento,Crea evento,Evenement maken,Создать мероприятие,イベントを作成,이벤트 만들기,创建活动,建立活動,إنشاء حدث,इवेंट बनाएं,Etkinlik Oluştur,Utwórz wydarzenie,สร้างกิจกรรม,Buat Acara
create_daily,Daily,Diario,Quotidien,Täglich,Diário,Giornaliero,Dagelijks,Ежедневно,毎日,매일,每日,每日,يومي,दैनिक,Günlük,Codziennie,รายวัน,Harian
create_date_time,Date & Time,Fecha y Hora,Date et Heure,Datum & Uhrzeit,Data e Hora,Data e Ora,Datum & Tijd,Дата и время,日時,날짜 및 시간,日期和时间,日期與時間,التاريخ والوقت,तारीख और समय,Tarih ve Saat,Data i Godzina,วันที่และเวลา,Tanggal & Waktu
create_description,Description,Descripción,Description,Beschreibung,Descrição,Descrizione,Beschrijving,Описание,説明,설명,描述,描述,الوصف,विवरण,Açıklama,Opis,คำอธิบาย,Deskripsi
create_description_hint,Tell people about your event...,,,,,,,,,,,,,,,,,
create_ends,Ends,Termina,Se termine,Endet,Termina,Termina,Eindigt,Заканчивается,終了,종료,结束,結束,ينتهي,समाप्त,Biter,Kończy się,สิ้นสุด,Berakhir
create_enter_event_name,Enter event name,,,,,,,,,,,,,,,,,
create_entry_ticket,Entry Ticket,Boleto de entrada,Billet d'entrée,Eintrittskarte,Ingresso,Biglietto d'ingresso,Toegangskaart,Входной билет,入場チケット,입장권,入场券,入場券,تذكرة دخول,प्रवेश टिकट,Giriş Bileti,Bilet wstępu,ตั๋วเข้างาน,Tiket Masuk
create_entry_tickets,Entry Tickets,Boletos de entrada,Billets d'entrée,Eintrittskarten,Ingressos,Biglietti d'ingresso,Toegangskaarten,Входные билеты,入場チケット,입장권,入场券,入場券,تذاكر دخول,प्रवेश टिकट,Giriş Biletleri,Bilety wstępu,ตั๋วเข้างาน,Tiket Masuk
create_event,Create Event,Crear evento,Créer un événement,Event erstellen,Criar evento,Crea evento,Evenement maken,Создать мероприятие,イベントを作成,이벤트 만들기,创建活动,建立活動,إنشاء حدث,इवेंट बनाएं,Etkinlik Oluştur,Utwórz wydarzenie,สร้างกิจกรรม,Buat Acara
create_event_branding,Event Branding,Marca del evento,Marque de l'événement,Event-Branding,Marca do evento,Branding evento,Evenement branding,Брендинг мероприятия,イベントブランディング,이벤트 브랜딩,活动品牌,活動品牌,العلامة التجارية للحدث,इवेंट ब्रांडिंग,Etkinlik Markası,Branding wydarzenia,แบรนด์กิจกรรม,Branding Acara
create_event_created,Event created successfully!,,,,,,,,,,,,,,,,,
create_event_format,Event Format,Formato del evento,Format de l'événement,Eventformat,Formato do evento,Formato evento,Evenementformaat,Формат мероприятия,イベント形式,이벤트 형식,活动形式,活動形式,تنسيق الحدث,इवेंट प्रारूप,Etkinlik Formatı,Format wydarzenia,รูปแบบกิจกรรม,Format Acara
create_event_name_hint,Give your event a name,,,,,,,,,,,,,,,,,
create_event_updated,Event updated successfully!,,,,,,,,,,,,,,,,,
create_first_event_message,Create your first event and start selling tickets.,,,,,,,,,,,,,,,,,
create_format_hybrid,Hybrid,Híbrido,Hybride,Hybrid,Híbrido,Ibrido,Hybride,Гибридный,ハイブリッド,하이브리드,混合,混合,هجين,हाइब्रिड,Hibrit,Hybrydowy,ไฮบริด,Hibrida
create_format_in_person,In-Person,Presencial,En personne,Vor Ort,Presencial,Di persona,Fysiek,Очное,対面,대면,线下,線下,حضوري,व्यक्तिगत,Yüz yüze,Osobiście,แบบพบหน้า,Tatap Muka
create_format_virtual,Virtual,Virtual,Virtuel,Virtuell,Virtual,Virtuale,Virtueel,Виртуальное,バーチャル,가상,线上,線上,افتراضي,वर्चुअल,Sanal,Wirtualny,เสมือนจริง,Virtual
create_get_verified,Get Verified,,,,,,,,,,,,,,,,,
create_hold_to_generate,Hold to generate new art,,,,,,,,,,,,,,,,,
create_how_many_tickets,How many tickets?,,,,,,,,,,,,,,,,,
create_image_upload_coming_soon,Image upload coming soon,,,,,,,,,,,,,,,,,
create_location,Location,Ubicación,Localisation,Standort,Localização,Posizione,Locatie,Местоположение,場所,위치,位置,位置,الموقع,स्थान,Konum,Lokalizacja,ตำแหน่ง,Lokasi
create_location_revealed,Location revealed after purchase,,,,,,,,,,,,,,,,,
create_meeting_details,Meeting Details,,,,,,,,,,,,,,,,,
create_meeting_hidden_hint,Link hidden until 1 hour before event,,,,,,,,,,,,,,,,,
create_meeting_password,Meeting Password,,,,,,,,,,,,,,,,,
create_meeting_password_hint,Optional password for the meeting,,,,,,,,,,,,,,,,,
create_meeting_url,Meeting URL,,,,,,,,,,,,,,,,,
create_monthly,Monthly,Mensual,Mensuel,Monatlich,Mensal,Mensile,Maandelijks,Ежемесячно,毎月,월간,每月,每月,شهري,मासिक,Aylık,Miesięcznie,รายเดือน,Bulanan
create_never,Never,Nunca,Jamais,Nie,Nunca,Mai,Nooit,Никогда,なし,없음,从不,從不,أبدًا,कभी नहीं,Asla,Nigdy,ไม่เคย,Tidak pernah
create_no_section,No section (general),,,,,,,,,,,,,,,,,
create_pick_color,Pick a Color,,,,,,,,,,,,,,,,,
create_pick_date,Pick date,,,,,,,,,,,,,,,,,
create_preview_buy_tickets,Buy Tickets,Comprar Boletos,Acheter des Billets,Tickets Kaufen,Comprar Ingressos,Acquista Biglietti,Tickets Kopen,Купить билеты,チケットを購入,티켓 구매,购买门票,購買門票,شراء تذاكر,टिकट खरीदें,Bilet Satın Al,Kup Bilety,ซื้อตั๋ว,Beli Tiket
create_preview_invite_only,Invite Only,Solo invitados,Sur invitation,Nur mit Einladung,Apenas convidados,Solo su invito,Alleen op uitnodiging,Только по приглашению,招待制,초대 전용,仅限邀请,僅限邀請,بدعوة فقط,केवल आमंत्रित,Sadece davetli,Tylko zaproszeni,เฉพาะผู้ได้รับเชิญ,Undangan saja
create_preview_join_waitlist,Join Waitlist,Unirse a la lista,Rejoindre la liste,Warteliste beitreten,Entrar na lista,Iscriviti alla lista,Op wachtlijst,В очередь,ウェイトリストに参加,대기 목록 가입,加入等候名单,加入等候名單,الانضمام للقائمة,प्रतीक्षा सूची,Bekleme listesi,Lista oczekujących,เข้าร่วมรายชื่อรอ,Daftar tunggu
create_preview_live,Live,En vivo,En direct,Live,Ao vivo,In diretta,Live,Прямой эфир,ライブ,라이브,直播,直播,مباشر,लाइव,Canlı,Na żywo,สด,Langsung
create_price,Price,Precio,Prix,Preis,Preço,Prezzo,Prijs,Цена,価格,가격,价格,價格,السعر,कीमत,Fiyat,Cena,ราคา,Harga
create_private,Private,Privado,Privé,Privat,Privado,Privato,Privé,Приватный,プライベート,비공개,私密,私密,خاص,निजी,Özel,Prywatny,ส่วนตัว,Pribadi
create_private_event_info,Only people with the invite code can see this event.,,,,,,,,,,,,,,,,,
create_public,Public,Público,Public,Öffentlich,Público,Pubblico,Openbaar,Публичный,パブリック,공개,公开,公開,عام,सार्वजनिक,Herkese açık,Publiczny,สาธารณะ,Publik
create_public_location,Public location,,,,,,,,,,,,,,,,,
create_quantity,Quantity,Cantidad,Quantité,Menge,Quantidade,Quantità,Aantal,Количество,数量,수량,数量,數量,الكمية,मात्रा,Miktar,Ilość,จำนวน,Jumlah
create_recurring_created,Recurring event created!,,,,,,,,,,,,,,,,,
create_redeemable_item,Redeemable Item,Artículo canjeable,Article échangeable,Einlösbarer Artikel,Item resgatável,Articolo riscattabile,Inwisselbaar item,Обменный предмет,引換アイテム,교환 아이템,可兑换物品,可兌換物品,عنصر قابل للاسترداد,रिडीमेबल आइटम,Kullanılabilir Ürün,Przedmiot do wymiany,ไอเทมแลกรับ,Item Dapat Ditukar
create_redeemable_items,Redeemable Items,Artículos canjeables,Articles échangeables,Einlösbare Artikel,Itens resgatáveis,Articoli riscattabili,Inwisselbare items,Обменные предметы,引換アイテム,교환 아이템,可兑换物品,可兌換物品,عناصر قابلة للاسترداد,रिडीमेबल आइटम,Kullanılabilir Ürünler,Przedmioty do wymiany,ไอเทมแลกรับ,Item Dapat Ditukar
create_repeat,Repeat,Repetir,Répéter,Wiederholen,Repetir,Ripeti,Herhalen,Повторять,繰り返し,반복,重复,重複,تكرار,दोहराएं,Tekrarla,Powtórz,ทำซ้ำ,Ulangi
create_secret_location,Secret location,,,,,,,,,,,,,,,,,
create_select_venue,Select Venue,Seleccionar lugar,Sélectionner le lieu,Veranstaltungsort wählen,Selecionar local,Seleziona sede,Locatie selecteren,Выбрать площадку,会場を選択,장소 선택,选择场地,選擇場地,اختر المكان,स्थान चुनें,Mekan Seçin,Wybierz miejsce,เลือกสถานที่,Pilih Tempat
create_sign_in,Sign In,Iniciar sesión,Se connecter,Anmelden,Entrar,Accedi,Inloggen,Войти,サインイン,로그인,登录,登入,تسجيل الدخول,साइन इन,Giriş yap,Zaloguj się,เข้าสู่ระบบ,Masuk
create_sign_in_description,Sign in to create events.,,,,,,,,,,,,,,,,,
create_sign_in_required,Sign In Required,,,,,,,,,,,,,,,,,
create_similar_events_description,We found events that look similar to yours.,,,,,,,,,,,,,,,,,
create_similar_events_found,Similar Events Found,,,,,,,,,,,,,,,,,
create_step_design,Design,,,,,,,,,,,,,,,,,
create_step_details,Details,,,,,,,,,,,,,,,,,
create_step_tags,Tags,,,,,,,,,,,,,,,,,
create_step_tickets,Tickets,Boletos,Billets,Tickets,Ingressos,Biglietti,Tickets,Билеты,チケット,티켓,门票,門票,تذاكر,टिकट,Biletler,Bilety,ตั๋ว,Tiket
create_tagline_hint,A short tagline for your event,,,,,,,,,,,,,,,,,
create_ticket_description_hint,Describe what this ticket includes,,,,,,,,,,,,,,,,,
create_ticket_name_hint,e.g. General Admission,,,,,,,,,,,,,,,,,
create_ticket_pricing_hint,Set a price or leave blank for free,,,,,,,,,,,,,,,,,
create_ticket_type_limit,Ticket type limit reached,Límite de tipos de boleto alcanzado,Limite de types de billets atteinte,Tickettyp-Limit erreicht,Limite de tipos de ingresso atingido,Limite tipi biglietto raggiunto,Kaarttype limiet bereikt,Достигнут лимит типов билетов,チケットタイプの上限に達しました,티켓 유형 한도에 도달했습니다,票种数量已达上限,票種數量已達上限,تم الوصول إلى حد أنواع التذاكر,टिकट प्रकार सीमा पूरी हो गई,Bilet türü sınırına ulaşıldı,Osiągnięto limit typów biletów,ถึงขีดจำกัดประเภทตั๋วแล้ว,Batas jenis tiket tercapai
create_update_event,Update Event,Actualizar evento,Mettre à jour l'événement,Event aktualisieren,Atualizar evento,Aggiorna evento,Evenement bijwerken,Обновить мероприятие,イベントを更新,이벤트 업데이트,更新活动,更新活動,تحديث الحدث,इवेंट अपडेट करें,Etkinliği Güncelle,Aktualizuj wydarzenie,อัปเดตกิจกรรม,Perbarui Acara
create_upload,Upload,,,,,,,,,,,,,,,,,
create_upload_logo,Upload Logo,Subir logo,Télécharger le logo,Logo hochladen,Enviar logo,Carica logo,Logo uploaden,Загрузить логотип,ロゴをアップロード,로고 업로드,上传标志,上傳標誌,رفع الشعار,लोगो अपलोड करें,Logo Yükle,Prześlij logo,อัปโหลดโลโก้,Unggah Logo
create_venue_layout,Venue Layout,Disposición del Lugar,Plan du Lieu,Veranstaltungsort-Layout,Layout do Local,Layout della Sede,Zaalindeling,Планировка площадки,会場レイアウト,장소 레이아웃,场地布局,場地佈局,تخطيط المكان,स्थल लेआउट,Mekan Düzeni,Układ Miejsca,ผังสถานที่,Tata Letak Venue
create_venue_section,Venue Section,,,,,,,,,,,,,,,,,
create_verification_description,Events with 250+ capacity require identity verification.,,,,,,,,,,,,,,,,,
create_verification_required,Verification Required,,,,,,,,,,,,,,,,,
create_weekly,Weekly,Semanal,Hebdomadaire,Wöchentlich,Semanal,Settimanale,Wekelijks,Еженедельно,毎週,주간,每周,每週,أسبوعي,साप्ताहिक,Haftalık,Co tydzień,รายสัปดาห์,Mingguan
created,Created,,,,,,,,,,,,,,,,,
creating,creating,,,,,,,,,,,,,,,,,
creating_ticket,Creating ticket...,Creando entrada...,Création du billet...,Ticket wird erstellt...,Criando ingresso...,Creazione biglietto...,Ticket aanmaken...,Создание билета...,チケット作成中...,티켓 생성 중...,正在创建门票...,正在建立門票...,جارٍ إنشاء التذكرة...,टिकट बना रहा है...,Bilet oluşturuluyor...,Tworzenie biletu...,กำลังสร้างตั๋ว...,Membuat tiket...
customer,customer,,,,,,,,,,,,,,,,,
customer_details,Customer Details,Detalles del cliente,Détails du client,Kundendetails,Detalhes do cliente,Dettagli cliente,Klantgegevens,Данные клиента,顧客情報,고객 정보,客户详情,客戶詳情,تفاصيل العميل,ग्राहक विवरण,Müşteri detayları,Szczegóły klienta,รายละเอียดลูกค้า,Detail Pelanggan
customer_name,Customer Name,Nombre del cliente,Nom du client,Kundenname,Nome do cliente,Nome cliente,Klantnaam,Имя клиента,顧客名,고객 이름,客户姓名,客戶姓名,اسم العميل,ग्राहक का नाम,Müşteri adı,Nazwa klienta,ชื่อลูกค้า,Nama Pelanggan
date,Date,Fecha,Date,Datum,Data,Data,Datum,Дата,日付,날짜,日期,日期,التاريخ,तारीख,Tarih,Data,วันที่,Tanggal
date_and_time,Date & Time,Fecha y Hora,Date et Heure,Datum & Uhrzeit,Data e Hora,Data e Ora,Datum & Tijd,Дата и время,日時,날짜 및 시간,日期和时间,日期與時間,التاريخ والوقت,तारीख और समय,Tarih ve Saat,Data i Godzina,วันที่และเวลา,Tanggal & Waktu
day_fri,Friday,Viernes,Vendredi,Freitag,Sexta-feira,Venerdì,Vrijdag,Пятница,金曜日,금요일,星期五,星期五,الجمعة,शुक्रवार,Cuma,Piątek,วันศุกร์,Jumat
day_mon,Monday,Lunes,Lundi,Montag,Segunda-feira,Lunedì,Maandag,Понедельник,月曜日,월요일,星期一,星期一,الاثنين,सोमवार,Pazartesi,Poniedziałek,วันจันทร์,Senin
day_sat,Saturday,Sábado,Samedi,Samstag,Sábado,Sabato,Zaterdag,Суббота,土曜日,토요일,星期六,星期六,السبت,शनिवार,Cumartesi,Sobota,วันเสาร์,Sabtu
day_sun,Sunday,Domingo,Dimanche,Sonntag,Domingo,Domenica,Zondag,Воскресенье,日曜日,일요일,星期日,星期日,الأحد,रविवार,Pazar,Niedziela,วันอาทิตย์,Minggu
day_thu,Thursday,Jueves,Jeudi,Donnerstag,Quinta-feira,Giovedì,Donderdag,Четверг,木曜日,목요일,星期四,星期四,الخميس,गुरुवार,Perşembe,Czwartek,วันพฤหัสบดี,Kamis
day_tue,Tuesday,Martes,Mardi,Dienstag,Terça-feira,Martedì,Dinsdag,Вторник,火曜日,화요일,星期二,星期二,الثلاثاء,मंगलवार,Salı,Wtorek,วันอังคาร,Selasa
day_wed,Wednesday,Miércoles,Mercredi,Mittwoch,Quarta-feira,Mercoledì,Woensdag,Среда,水曜日,수요일,星期三,星期三,الأربعاء,बुधवार,Çarşamba,Środa,วันพุธ,Rabu
delete,delete,,,,,,,,,,,,,,,,,
delete_api_key,Delete API Key,,,,,,,,,,,,,,,,,
delete_api_key_warning,This action cannot be undone. The key will stop working immediately.,,,,,,,,,,,,,,,,,
delivery,delivery,,,,,,,,,,,,,,,,,
discard,discard,,,,,,,,,,,,,,,,,
discount,Discount,Descuento,Réduction,Rabatt,Desconto,Sconto,Korting,Скидка,割引,할인,折扣,折扣,خصم,छूट,İndirim,Zniżka,ส่วนลด,Diskon
discount_code_hint,Enter discount code,,,,,,,,,,,,,,,,,
discount_code_optional,Discount Code (optional),,,,,,,,,,,,,,,,,
discover_more_events,Discover More Events,Descubre más eventos,Découvrez plus d'événements,Mehr Veranstaltungen entdecken,Descubra mais eventos,Scopri più eventi,Ontdek meer evenementen,Откройте больше событий,もっとイベントを見つける,더 많은 이벤트 찾기,发现更多活动,探索更多活動,اكتشف المزيد من الأحداث,और इवेंट खोजें,Daha fazla etkinlik keşfedin,Odkryj więcej wydarzeń,ค้นพบกิจกรรมเพิ่มเติม,Temukan Lebih Banyak Acara
dismiss,dismiss,,,,,,,,,,,,,,,,,
done,done,,,,,,,,,,,,,,,,,
downloading_door_list,Downloading door list...,Descargando lista de puerta...,Téléchargement de la liste...,Türliste wird heruntergeladen...,Baixando lista de entrada...,Download lista porta...,Deurlijst downloaden...,Загрузка списка гостей...,ドアリストをダウンロード中...,도어 리스트 다운로드 중...,正在下载入场名单...,正在下載入場名單...,جارٍ تحميل قائمة الباب...,डोर लिस्ट डाउनलोड हो रही है...,Kapı listesi indiriliyor...,Pobieranie listy drzwi...,กำลังดาวน์โหลดรายชื่อ...,Mengunduh daftar pintu...
drag onto canvas,drag onto canvas,,,,,,,,,,,,,,,,,
"e.g., Madison Square Garden","e.g., Madison Square Garden",,,,,,,,,,,,,,,,,
"e.g., VIP, General","e.g., VIP, General",,,,,,,,,,,,,,,,,
edit,edit,,,,,,,,,,,,,,,,,
email,Email,Correo,E-mail,E-Mail,E-mail,E-mail,E-mail,Эл. почта,メール,이메일,电邮,電郵,البريد الإلكتروني,ईमेल,E-posta,E-mail,อีเมล,Email
